Date,Route Pack,US AC Number,US AC Type,NVAP AC Number,NVAP Airfraft Type,US Pilot Branch,US AC Damaged,US AC Destroyed,NVAF AC Damaged,NVAF AC Destroyed,US Weapon Used,NVAF Weapon Used,lat_dec,long_dec
1965-04-03,4,4,F-8,3,MIG-17,Navy,1,0,0,0,NONE,Cannon,19.966666666666665,105.85
1965-04-09,Yankee,4,F-4,4,MIG-17,Navy,0,1,0,1,Sparrow,Cannon,18.05,108.1
1965-06-04,5,2,F-4,4,MIG-17,Navy,0,0,0,0,NONE,NONE,20.333333333333332,105.33333333333333
1965-06-17,5,2,F-4,4,MIG-17,Navy,0,0,0,2,Sparrow,NONE,20.133333333333333,105.25
1965-07-10,6A,4,F-4,2,MIG-17,Air Force,0,0,0,2,Sidewinder,NONE,21.283333333333335,105.3
1965-10-06,6B,2,F-4,3,MIG-17,Navy,0,0,0,1,Sparrow,NONE,21.5,106.25
1965-12-23,1,2,F-4,2,MIG-17,Air Force,0,0,0,0,NONE,NONE,19.666666666666668,108.33333333333333
1966-04-23,6A,4,F-4,4,MIG-17,Air Force,0,0,0,2,"Sparrow, Sidewinder",Cannon,22,106
1966-04-25,5,2,F-4,2,MIG-21,Air Force,0,0,0,0,"Sparrow, Sidewinder",NONE,22.433333333333334,104.83333333333333
1966-04-30,5,2,F-4,4,MIG-17,Air Force,0,0,0,1,Sidewinder,NONE,21.416666666666668,104.33333333333333
1966-05-10,5,4,F-4,3,MIG-17,Air Force,0,0,0,0,NONE,Rocket,21.466666666666665,104.63333333333334
1966-06-12,6B,4,F-8,4,MIG-17,Navy,0,0,1,1,"Sidewinder, Cannon",NONE,21.333333333333332,106.5
1966-06-21,6B,4,F-8,4,MIG-17,Navy,0,1,0,2,"Sidewinder, Cannon",Cannon,21.55,106.61666666666666
1966-07-13,6B,4,F-4,6,MIG-17,Navy,0,0,0,1,Sidewinder,NONE,20.683333333333334,105.91666666666667
1966-09-05,6B,2,F-8,2,MIG-17,Navy,1,1,0,0,NONE,Cannon,20.25,105.98333333333333
1966-09-16,6,3,F-4,4,MIG-17,Air Force,0,1,0,1,Sidewinder,Cannon,21,106
1966-09-21,6A,3,F-4,2,MIG-17,Air Force,0,1,0,0,"Sparrow, Sidewinder",Cannon,21.216666666666665,106.46666666666667
1966-10-09,6B,4,F-8,2,MIG-21,Navy,0,0,0,1,Sidewinder,NONE,20.533333333333335,105.8
1966-11-05,6,4,F-4,2,MIG-21,Air Force,0,0,0,2,"Sidewinder, Sparrow",AA-1,22.383333333333333,105.28333333333333
1967-01-02,6,4,F-4,7,MIG-21,Air Force,0,0,0,2,"Sidewinder, Sparrow",Cannon,21.3,105.75
1967-01-02,6,4,F-4,5,MIG-21,Air Force,0,0,0,1,"Sidewinder, Sparrow",NONE,21.216666666666665,105.71666666666667
1967-01-02,6,4,F-4,UNK,MIG-21,Air Force,0,0,0,3,Sparrow,NONE,21.333333333333332,105.66666666666667
1967-01-05,6,4,F-4,2,MIG-21,Air Force,0,0,0,0,NONE,NONE,21.666666666666668,105.33333333333333
1967-01-06,6A,2,F-4,4,MIG-21,Air Force,0,0,0,2,"Sparrow, Sidewinder",NONE,21.383333333333333,105.03333333333333
1967-01-06,5,3,F-4,2,MIG-17,Air Force,0,0,0,0,NONE,NONE,21.416666666666668,104.5
1967-01-17,5,4,F-4,2,MIG-17,Air Force,0,0,0,0,NONE,NONE,22,104
1966-04-23,6,4,F-105,3,MIG-17,Air Force,0,0,0,0,NONE,Cannon,21.916666666666668,105.58333333333333
1966-05-08,6,4,F-105,2,MIG-17,Air Force,0,0,0,0,Cannon,Cannon,21.366666666666667,107.08333333333333
1966-06-29,6,4,F-105,4,MIG-17,Air Force,2,0,0,1,Cannon,Cannon,21.55,105.61666666666666
1966-07-19,6,8,F-105,4,MIG-17,Air Force,1,1,3,0,Cannon,Cannon,21.216666666666665,105.8
1966-08-12,5,4,F-105,2,MIG-17,Air Force,1,0,1,0,Cannon,Cannon,21.816666666666666,104.7
1966-08-18,6,2,F-105,2,MIG-17,Air Force,1,0,0,1,Cannon,Cannon,21.333333333333332,105.83333333333333
1966-08-22,6,4,F-105,4,MIG-17,Air Force,2,0,0,0,Cannon,Cannon,21.25,105.78333333333333
1966-09-14,6,4,F-105,2,MIG-17,Air Force,0,0,0,0,Cannon,Cannon,21.2,106.58333333333333
1966-09-14,6,4,F-105,3,MIG-17,Air Force,0,0,0,0,NONE,NONE,21.333333333333332,106.16666666666667
1966-09-16,6,4,F-105,2,MIG-17,Air Force,0,0,0,0,Cannon,NONE,21.3,106.28333333333333
1966-09-16,6,4,F-105,4,MIG-17,Air Force,0,0,0,0,NONE,NONE,21.5,107.33333333333333
1966-09-20,6,11,F-105,4,MIG-17,Air Force,0,0,0,0,Cannon,Cannon,21.833333333333332,105.5
1966-09-21,6,4,F-105,2,MIG-21,Air Force,0,0,0,0,Cannon,NONE,21.25,106.75
1966-09-21,6,4,F-105,2,MIG-17,Air Force,0,0,0,1,Cannon,NONE,21.333333333333332,106.28333333333333
